elements,selection sort,insertion sort,quick sort,random sort
10,3.81E-06,1.10E-05,1.41E-05,> 30 min
100,0.000314355,0.000225067,9.20E-05,> 30 min
1000,0.031475226,0.016000748,0.000822703,> 30 min
10000,> 30 min,1.218145788,0.007281244,> 30 min
100000,> 30 min,> 30 min,0.069315386,> 30 min
1000000,> 30 min,> 30 min,0.755910635,> 30 min
10000000,> 30 min,> 30 min,> 30 min,> 30 min
100000000,> 30 min,> 30 min,> 30 min,> 30 min
1000000000,> 30 min,> 30 min,> 30 min,> 30 min
10000000000,> 30 min,> 30 min,> 30 min,> 30 min
